2018.07.28 18:19:57 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.7gb[3.6%], shards will be relocated away from this node
2018.07.28 18:19:57 INFO  es[][o.e.c.r.a.DiskThresholdMonitor] rerouting shards: [high disk watermark exceeded on one or more nodes]
2018.07.28 18:20:27 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.7gb[3.6%], shards will be relocated away from this node
2018.07.28 18:20:57 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.7gb[3.6%], shards will be relocated away from this node
2018.07.28 18:20:57 INFO  es[][o.e.c.r.a.DiskThresholdMonitor] rerouting shards: [high disk watermark exceeded on one or more nodes]
2018.07.28 18:21:27 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.7gb[3.6%], shards will be relocated away from this node
2018.07.28 18:21:57 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.7gb[3.6%], shards will be relocated away from this node
2018.07.28 18:21:57 INFO  es[][o.e.c.r.a.DiskThresholdMonitor] rerouting shards: [high disk watermark exceeded on one or more nodes]
2018.07.28 18:22:27 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.7gb[3.6%], shards will be relocated away from this node
2018.07.28 18:22:57 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.7gb[3.6%], shards will be relocated away from this node
2018.07.28 18:22:57 INFO  es[][o.e.c.r.a.DiskThresholdMonitor] rerouting shards: [high disk watermark exceeded on one or more nodes]
2018.07.28 18:23:27 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.6gb[3.6%], shards will be relocated away from this node
2018.07.28 18:23:57 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.6gb[3.6%], shards will be relocated away from this node
2018.07.28 18:23:57 INFO  es[][o.e.c.r.a.DiskThresholdMonitor] rerouting shards: [high disk watermark exceeded on one or more nodes]
2018.07.28 18:24:27 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.6gb[3.6%], shards will be relocated away from this node
2018.07.28 18:24:57 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.6gb[3.6%], shards will be relocated away from this node
2018.07.28 18:24:57 INFO  es[][o.e.c.r.a.DiskThresholdMonitor] rerouting shards: [high disk watermark exceeded on one or more nodes]
2018.07.28 18:25:27 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.6gb[3.6%], shards will be relocated away from this node
2018.07.28 18:25:57 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.6gb[3.6%], shards will be relocated away from this node
2018.07.28 18:25:57 INFO  es[][o.e.c.r.a.DiskThresholdMonitor] rerouting shards: [high disk watermark exceeded on one or more nodes]
2018.07.28 18:26:27 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.6gb[3.6%], shards will be relocated away from this node
2018.07.28 18:26:57 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.6gb[3.6%], shards will be relocated away from this node
2018.07.28 18:26:57 INFO  es[][o.e.c.r.a.DiskThresholdMonitor] rerouting shards: [high disk watermark exceeded on one or more nodes]
2018.07.28 18:27:28 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.6gb[3.6%], shards will be relocated away from this node
2018.07.28 18:27:58 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.6gb[3.6%], shards will be relocated away from this node
2018.07.28 18:27:58 INFO  es[][o.e.c.r.a.DiskThresholdMonitor] rerouting shards: [high disk watermark exceeded on one or more nodes]
2018.07.28 18:28:28 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.6gb[3.6%], shards will be relocated away from this node
2018.07.28 18:28:58 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.5gb[3.6%], shards will be relocated away from this node
2018.07.28 18:28:58 INFO  es[][o.e.c.r.a.DiskThresholdMonitor] rerouting shards: [high disk watermark exceeded on one or more nodes]
2018.07.28 18:29:28 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.5gb[3.6%], shards will be relocated away from this node
2018.07.28 18:29:58 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.5gb[3.6%], shards will be relocated away from this node
2018.07.28 18:29:58 INFO  es[][o.e.c.r.a.DiskThresholdMonitor] rerouting shards: [high disk watermark exceeded on one or more nodes]
2018.07.28 18:30:28 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.5gb[3.6%], shards will be relocated away from this node
2018.07.28 18:30:58 WARN  es[][o.e.c.r.a.DiskThresholdMonitor] high disk watermark [90%] exceeded on [ulSatNXTS5OKHHukk49w-g][sonarqube][C:\Users\Aduanich\Desktop\sonarqube-7.2.1\data\es5\nodes\0] free: 66.5gb[3.6%], shards will be relocated away from this node
2018.07.28 18:30:58 INFO  es[][o.e.c.r.a.DiskThresholdMonitor] rerouting shards: [high disk watermark exceeded on one or more nodes]
