2018.08.28 22:41:11 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Sonar way
2018.08.28 22:41:11 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/PSR-2
2018.08.28 22:41:11 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Drupal
2018.08.28 22:41:11 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile py/Sonar way
2018.08.28 22:41:11 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way
2018.08.28 22:41:11 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way recommended
2018.08.28 22:41:11 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2018.08.28 22:41:11 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2018.08.28 22:41:11 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@10878562 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/properties*, ...]}]
2018.08.28 22:41:11 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.DeprecatedPropertiesWsFilter@3bef126b [pattern=UrlPattern{inclusions=[/api/properties/*], exclusions=[]}]
2018.08.28 22:41:11 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceReroutingFilter@3fbfb834 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2018.08.28 22:41:11 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@4fddcef9 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2018.08.28 22:41:11 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@1393f154 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2018.08.28 22:41:11 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@4a2f14d6 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2018.08.28 22:41:11 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@6bd2e9c6 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2018.08.28 22:41:11 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@17299efc [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2018.08.28 22:41:11 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2018.08.28 22:41:11 INFO  web[][o.s.s.p.Platform] WebServer is operational
